;ID;position.x;position.y;position.z;total_volume;cell_type;cycle_model;current_phase;elapsed_time_in_phase;nuclear_volume;cytoplasmic_volume;fluid_fraction;calcified_fraction;orientation.x;orientation.y;orientation.z;polarity;migration_speed;motility_vector.x;motility_vector.y;motility_vector.z;migration_bias;motility_bias_direction.x;motility_bias_direction.y;motility_bias_direction.z;persistence_time;motility_reserved;Oxygen;HIF;LDH;PDK;PDH;Diff_coeff;distance;simulation_time
16;15;-150.328723225826;-57.7278646479486;27.4824126382783;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152984094037;3.58281819386417;3.39126634198632;6.23542837506996;0.14216765782473;64692.3352361777;163.360075869043;6
17;16;-141.527649644585;-53.2013875403022;68.0157080899808;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528156012910343;3.58281630902928;3.39126614395797;6.23542785632329;0.142167658180128;75934.9113753048;165.790831462766;6
18;17;-147.753635064371;-45.6634443076448;-40.8654365046095;1247;0;9999;1;11.9888888888831;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154022328852;3.58281755771813;3.39126627412517;6.2354281972958;0.142167657947686;66998.2904054144;159.957090250745;6
19;18;-158.768008677441;-42.4717555210316;-26.975527195887;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152787060399;3.5828183230931;3.39126635448126;6.23542840779446;0.142167657803248;60363.9138505128;166.549721296478;6
20;19;-150.478892363809;-53.7441363318495;-13.5935448061337;1247;0;9999;1;35.9666666666621;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152193976431;3.58281869263432;3.39126639410333;6.2354285115915;0.142167657731448;58321.0715532246;160.365562691906;6
21;20;-158.559526854799;-43.3094045560488;-0.311343152119446;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152193976431;3.58281869263432;3.39126639410333;6.2354285115915;0.142167657731448;58321.0715532246;164.368260360617;6
22;21;-150.606353800689;-38.3162001106398;13.7834534488998;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150946326937;3.58281946142854;3.39126647946366;6.2354287352262;0.142167657573813;55796.4032678155;156.014065343593;6
23;22;-158.315803196542;-43.4128205522714;27.389198928688;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152984094037;3.58281819386417;3.39126634198632;6.23542837506996;0.14216765782473;64692.3352361777;166.429368646358;6
24;23;-150.831840380852;-39.7895869812771;40.7072299998064;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153025951177;3.58281815581714;3.39126634174;6.23542837445031;0.142167657820996;64336.2950641127;161.215799098824;6
25;24;-141.911918268455;-43.4756463706417;54.5041350613521;2494;0;9999;4;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154228135673;3.58281741620604;3.39126626022602;6.2354281608959;0.142167657971242;70189.3389689833;158.113329965452;6
26;25;-149.925305283238;-28.8262197642136;-54.8252855390869;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152793886567;3.5828183215523;3.39126635903112;6.23542841973413;0.142167657791231;60306.4282259587;162.217015274629;6
27;26;-150.389525289761;-28.9488548654119;-26.85307558544;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151514447358;3.58281911767284;3.39126644295357;6.23542863957953;0.142167657640034;56340.6077324171;155.486762083773;6
28;27;-162.518527617867;-31.5426903987698;-13.8359499003994;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528155400705076;3.58281670580246;3.39126626539544;6.23542817508581;0.142167657865071;83347.5866056812;166.128404092492;6
29;28;-150.834403395001;-28.9418684215449;0.204675952183006;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150946326937;3.58281946142854;3.39126647946366;6.2354287352262;0.142167657573813;55796.4032678155;153.586102520708;6
30;29;-158.802014586172;-23.9407017340358;13.7220843531108;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528150946326937;3.58281946142854;3.39126647946366;6.2354287352262;0.142167657573813;55796.4032678155;161.181675866517;6
31;30;-150.620860877765;-29.1717731338015;27.2832731479349;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151651887903;3.58281901100388;3.39126643182551;6.23542861043473;0.14216765765923;60179.4367892727;155.826868905827;6
32;31;-139.839015401317;-20.7290649684056;40.9557526295869;1247;0;9999;1;0;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148685286835;3.58281863212178;3.39126634247343;6.2354283763691;0.142167657820971;44137.3043672042;147.180222979618;6
33;32;-150.113544810148;-29.0729762178646;54.1469382895373;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153025951177;3.58281815581714;3.39126634174;6.23542837445031;0.142167657820996;64336.2950641127;162.207290858838;6
34;33;-142.993607982928;-29.437951898802;68.1742396078606;1247;0;9999;1;11.9888888888831;270;977;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.052815489280545;3.58281700001329;3.39126622023379;6.23542805615491;0.142167658039544;69833.4777106364;161.125702115092;6
35;34;-149.896094493432;-19.4105108863967;-68.2222965812177;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528154200941919;3.58281745293697;3.39126627257054;6.23542819326383;0.142167657943164;62041.6335377972;165.830904321452;6
36;35;-151.912620338597;-22.2716293017366;-40.6253194778105;2494;0;9999;4;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528152793886567;3.58281833571732;3.39126638934594;6.23542849921181;0.142167657718684;60306.4282259587;158.82029553104;6
37;36;-158.321610082596;-14.3007992768386;-27.3938851112806;2494;0;9999;3;35.9666666666621;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.052815092488401;3.58281948991233;3.39126648713475;6.23542875533596;0.142167657556964;53912.1565598181;161.309237245088;6
